HB20100479,TCHN-ROUTER-3011,220.128.0.139,TCHN-ROUTER-3301,220.128.33.141,100000,100,100
HB21400036,TCWH-ROUTER-3301,220.128.33.153,TCWH-ROUTER-3302,220.128.33.154,10000,150,150
HB10300238,SNUH-ROUTER-3201,220.128.0.29,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10300240,SNUH-ROUTER-3202,220.128.0.30,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10300144,SNUH-ROUTER-3201,220.128.0.29,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10300132,SNUH-ROUTER-3202,220.128.0.30,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10300284,SNUH-ROUTER-3201,220.128.0.29,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
295D-96318,PCPD-ROUTER-3212,220.128.0.64,SNUH-ROUTER-3302,220.128.33.30,10000,300,300
HB10300270,SNUH-ROUTER-3202,220.128.0.30,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10300186,SNUH-ROUTER-3202,220.128.0.30,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
295D-96317,PCPD-ROUTER-3212,220.128.0.64,SNUH-ROUTER-3302,220.128.33.30,10000,300,300
HB10300133,SNUH-ROUTER-3301,220.128.33.29,SNUH-ROUTER-3302,220.128.33.30,5000,10,10
HB10300185,SNUH-ROUTER-3201,220.128.0.29,SNUH-ROUTER-3302,220.128.33.30,10000,100,100
HB10102665,TPDB-ROUTER-3021,220.128.0.93,TPDB-ROUTER-3315,220.128.33.19,100000,100,100
HB10102667,TPDT-ROUTER-3022,220.128.0.94,TPDB-ROUTER-3315,220.128.33.19,100000,100,100
47E-90415,CHCH-ROUTER-3012,220.128.0.180,NTNK-ROUTER-3302,220.128.33.174,10000,160,160
47E-90555,CHCH-ROUTER-3012,220.128.0.180,NTNK-ROUTER-3302,220.128.33.174,10000,160,160
47E-90609,CHCH-ROUTER-3012,220.128.0.180,NTNK-ROUTER-3302,220.128.33.174,10000,160,160
HB20500114,NTNK-ROUTER-3301,220.128.33.173,NTNK-ROUTER-3302,220.128.33.174,10000,100,100
42E-92358,TCHN-ROUTER-3012,220.128.0.140,NTNK-ROUTER-3302,220.128.33.174,10000,160,160
33D-95648,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
33D-95115,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
223E-93310,TPDT-ROUTER-3012,220.128.0.92,CLPY-ROUTER-3302,220.128.33.44,10000,160,160
223E-93426B,TPDT-ROUTER-3012,220.128.0.92,CLPY-ROUTER-3302,220.128.33.44,10000,160,160
223E-93336,TPDT-ROUTER-3012,220.128.0.92,CLPY-ROUTER-3302,220.128.33.44,10000,160,160
HB10500050,CLPY-ROUTER-3301,220.128.33.43,CLPY-ROUTER-3302,220.128.33.44,10000,10,10
33D-93244,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
223E-93630,TPDT-ROUTER-3012,220.128.0.92,CLPY-ROUTER-3302,220.128.33.44,10000,160,160
